LastName,FirstName,Age,Class,PassengerOrCrew,Role,Survivor
ASPLUND,Master Carl Edgar,5,3rd Class,Passenger,,false
ASPLUND,Master Clarence Gustaf Hugo,9,3rd Class,Passenger,,false
ASPLUND,Master Edvin Rojj Felix,3,3rd Class,Passenger,,true
ASPLUND,Master Filip Oscar,13,3rd Class,Passenger,,false
ASPLUND,Miss Lillian Gertrud,5,3rd Class,Passenger,,true
ASPLUND,Mr Carl Oscar Vilhelm Gustafsson,40,3rd Class,Passenger,,false
ASPLUND,Mr Johan Charles,23,3rd Class,Passenger,,true
ASPLUND,Mrs Selma Augusta Emilia,38,3rd Class,Passenger,,true
ASSAM,Mr Ali,23,3rd Class,Passenger,,false
ASTOR,Colonel John Jacob,47,1st Class,Passenger,,false
ASTOR,Mrs Madeleine Talmage,18,1st Class,Passenger,,true
ATĀ ALLĀH,Miss Malakah,18,3rd Class,Passenger,,false
ATTALA,Mr Sleiman Khalil,27,3rd Class,Passenger,,false
AUBART,Mme. Léontine Pauline,24,1st Class,Passenger,,true
AUGUSTSSON,Mr Albert,23,3rd Class,Passenger,,false
AULD,Mr James,32,Engineering,Crew,(Delivery trip only),false
AVERY,Mr James Albert,20,Engineering,Crew,,true
AYLING,Mr Edwin George,23,Victualling,Crew,,false
AYYŪB-DĀHIR,Miss Bannūrah,15,3rd Class,Passenger,,true
BACK,Mr Charles Frederick,37,Victualling,Crew,,false
BACKSTRÖM,Mr Karl Alfred,32,3rd Class,Passenger,,false
BACKSTRÖM,Mrs Maria Mathilda,33,3rd Class,Passenger,,true
BADMAN,Miss Emily Louisa,18,3rd Class,Passenger,,true
BADT,Mr Mohamed,40,3rd Class,Passenger,,false
BAGGOTT,Mr Allen Marden,28,Victualling,Crew,,true
BAGLEY,Mr Edward Henry,33,Victualling,Crew,,false
BAILEY,Mr George,44,Victualling,Crew,,false
BAILEY,Mr George Frank,46,Engineering,Crew,,false
BAILEY,Mr Henry Joseph,46,Deck,Crew,,true
BAILEY,Mr Percy,18,2nd Class,Passenger,,false
BAILEY,Mr William,30,Engineering,Crew,(Delivery trip only),false
BAIN,Mr David,46,Engineering,Crew,(Delivery trip only),false
BAINBRIGGE,Mr Charles Robert,22,2nd Class,Passenger,,false
BAINES,Mr Richard,58,Engineering,Crew,,false
BAKER (?BARKER),Mr John,0,Engineering,Crew,(Delivery trip only),false
BAKIĆ,Mr Cerin,26,3rd Class,Passenger,,false
BALL,Mr Percy,18,Victualling,Crew,,true
BALLS,Mrs Ada E.,36,2nd Class,Passenger,,true
BANEWER,Mr Solomon,42,2nd Class,Passenger,,false
BANFI,Ugo,24,Restaurant Staff,Crew,,false
BANFIELD,Mr Frederick James,28,2nd Class,Passenger,,false
BANNON,Mr John Joseph,34,Engineering,Crew,,false
BARBARA,Miss Saiide,18,3rd Class,Passenger,,false
BARBARA,Mrs Catherine David,45,3rd Class,Passenger,,false
BARBER,Miss Ellen Mary,26,1st Class,Passenger,Servant,true
BARKER,Mr Albert Vale,19,Victualling,Crew,,false
BARKER,Mr Ernest Thomas,40,Victualling,Crew,,false
BARKER,Mr George,46,Deck,Crew,(Delivery trip only),false
BARKER,Mr George,56,Engineering,Crew,(Delivery trip only),false
BARKER,Mr Reginald Lomond,42,Victualling,Crew,,false
BARKER,Mr Stokes,26,Engineering,Crew,(Delivery trip only),false
BARKLEY,Mr Robert,39,Engineering,Crew,(Delivery trip only),false
BARKWORTH,Mr Algernon Henry,47,1st Class,Passenger,,true
BARLOW,Mr Charles Henry,30,Engineering,Crew,,false
BARLOW,Mr George,39,Victualling,Crew,,false
BARNES,Mr Charles,29,Engineering,Crew,,false
BARNES,Mr Frederick Charles,40,Victualling,Crew,,false
BARNES,Mr John,39,Engineering,Crew,,false
BARNES,Mr William,32,Engineering,Crew,(Delivery trip only),false
BARRATT,Mr Arthur,16,Victualling,Crew,,false
BARRETT,Mr Frederick William,29,Engineering,Crew,,true
BARRETT,Mr Frederick William,33,Engineering,Crew,,true
BARRINGER,Mr Arthur William,34,Victualling,Crew,,false
BARROW,Mr Charles Henry John,35,Victualling,Crew,,false
BARROWS,Mr Edward William Peter,32,Victualling,Crew,,false
BARRY,Miss Julia,30,3rd Class,Passenger,,false
BARRY,Mr James,31,Engineering,Crew,(Delivery trip only),false
BARTLEY,Mr Joseph,32,Victualling,Crew,(Delivery trip only),false
BARTLEY,Mr Robert,32,Engineering,Crew,(Delivery trip only),false
BARTON,Mr David John,22,3rd Class,Passenger,,false
BARTON,Mr Sidney John,26,Victualling,Crew,,false
BASILICO,Sig. Giovanni,27,Restaurant Staff,Crew,,false
BASSANI,Mrs Albina,31,1st Class,Passenger,Servant,true
BATEMAN,Revd Robert James,52,2nd Class,Passenger,,false
BATOSHEV,Mr Hristo Lalev,23,3rd Class,Passenger,,false
BAUMANN,Mr John David,48,1st Class,Passenger,,false
BAXTER,Mr Harry Ross,53,Victualling,Crew,,false
BAXTER,Mr Quigg Edmond,24,1st Class,Passenger,,false
BAXTER,Mr Thomas Ferguson,55,Victualling,Crew,,false
BAXTER,Mrs Hélène,50,1st Class,Passenger,,true
BAZZĪ,Mr Rashīd Al-Hāj 'Adb al-Husayn,30,3rd Class,Passenger,,false
BAZZI,Sig. Narciso,33,Restaurant Staff,Crew,,false
BEANE,Mr Edward,32,2nd Class,Passenger,,true
BEANE,Mrs Ethel Louisa,22,2nd Class,Passenger,,true
BEATTIE,Mr Francis,36,Engineering,Crew,(Delivery trip only),false
BEATTIE,Mr Joseph John,40,Engineering,Crew,,false
BEATTIE,Mr Thomson,36,1st Class,Passenger,,false
BEAUCHAMP,Mr George William,24,Engineering,Crew,,true
BEAUCHAMP,Mr Henry James,43,2nd Class,Passenger,,false
BEAVAN,Mr William Thomas,20,3rd Class,Passenger,,false
BECKER,Master Richard F.,1,2nd Class,Passenger,,true
BECKER,Miss Marion Louise,4,2nd Class,Passenger,,true
BECKER,Miss Ruth Elizabeth,12,2nd Class,Passenger,,true
BECKER,Mrs Nellie E.,35,2nd Class,Passenger,,true
BECKWITH,Mr Richard Leonard,37,1st Class,Passenger,,true
BECKWITH,Mrs Sarah Maybell,46,1st Class,Passenger,,true
BEDFORD,Mr William Barnett,31,Victualling,Crew,,false
BEEDEM,Mr George Arthur,35,Victualling,Crew,,false
BEERE,Mr William,19,Victualling,Crew,,false
BEESLEY,Mr Lawrence,34,2nd Class,Passenger,,true
BEHR,Mr Karl Howell,26,1st Class,Passenger,,true
BELL,Mr Joseph,51,Engineering,Crew,,false
BENDELL,Mr Frank,23,Engineering,Crew,,false
BENGTSSON,Mr Jan Viktor,26,3rd Class,Passenger,,false
BENHAM,Mr Fred John,30,Victualling,Crew,,false
BENNETT,Mr George Alfred,30,Engineering,Crew,,false
BENNETT,Mrs Mabel Kate,33,Victualling,Crew,,true
BENSON,Mr James,50,Deck,Crew,(Delivery trip only),false
BENSON,Mr John,26,Deck,Crew,(Delivery trip only),false
BENSON,Mr William,25,Engineering,Crew,(Delivery trip only),false
BENTHAM,Miss Lillian Winifred,19,2nd Class,Passenger,,true
BENVILLE,Mr Edward,47,Engineering,Crew,,false
BERGLUND,Mr Karl Ivar Sven,22,3rd Class,Passenger,,false
BERNARDI,Sig. Battista,22,Restaurant Staff,Crew,,false
BERRIMAN,Mr William John,23,2nd Class,Passenger,,false
BESSANT,Mr Edward,31,Victualling,Crew,,false
BESSANT,Mr William Edward Lowe,40,Engineering,Crew,,false
BESSETTE,Miss Nellie Mayo,39,1st Class,Passenger,Servant,true
BEST,Mr Edwin Alfred,40,Victualling,Crew,,false
BEUX,Mr David,25,Restaurant Staff,Crew,,false
BEVIS,Mr Joseph Henry,22,Engineering,Crew,,false
BIDDLECOMBE,Mr Reginald Charles,31,Engineering,Crew,,false
BIDOIS,Miss Rosalie,46,1st Class,Passenger,Servant,true
BIÉTRIX,Mr George Baptiste,28,Restaurant Staff,Crew,,false
BIGGS,Mr Edward Charles,20,Engineering,Crew,,false
BILLOWS,Mr James,20,Engineering,Crew,,false
BING,Mr Lee,32,3rd Class,Passenger,,true
BINSTEAD,Mr Walter William,20,Engineering,Crew,,true
BIRD,Miss Ellen,31,1st Class,Passenger,Servant,true
BIRKELAND,Mr Hans Martin Monsen,21,3rd Class,Passenger,,false
BIRNBAUM,Mr Jakob,24,1st Class,Passenger,,false
BISHOP,Mr Dickinson H.,25,1st Class,Passenger,,true
BISHOP,Mr Walter Alexander,34,Victualling,Crew,,false
BISHOP,Mrs Helen Margaret,19,1st Class,Passenger,,true
BITTLE,Mr Robert,37,Engineering,Crew,(Delivery trip only),false
BJÖRKLUND,Mr Ernst Heribert,18,3rd Class,Passenger,,false
BJÖRNSTRÖM-STEFFANSSON,Mr Mauritz Håkan,28,1st Class,Passenger,,true
BLACK,Mr Alexander,28,Engineering,Crew,,false
BLACK,Mr D.,41,Engineering,Crew,Substitute Crew,false
BLACK,Mr James,38,Engineering,Crew,(Delivery trip only),false
BLACKMAN,Mr Albert Edward,23,Engineering,Crew,,false
BLACKWELL,Mr Stephen Weart,45,1st Class,Passenger,,false
BLADES,Mr Frederick Charles,17,Victualling,Crew,,false
BLAIR,Mr David,37,Deck,Crew,Titanic Officers,false
BLAKE,Mr C.,36,Engineering,Crew,Failed to Join Ship,false
BLAKE,Mr John Douglas Stanley George,26,Engineering,Crew,,false
BLAKE,Mr Percival Albert,22,Engineering,Crew,,true
BLAKE,Mr Thomas Henry,36,Engineering,Crew,,false
BLANEY,Mr James,32,Engineering,Crew,,false
BLANK,Mr Henry,39,1st Class,Passenger,,true
BLANN,Mr Eustace Horatius,21,Engineering,Crew,,false
BLISS,Mrs Emma,45,Victualling,Crew,,true
BLOOMER,Mr James,40,Deck,Crew,(Delivery trip only),false
BLUMET,Mr Jean Baptiste,26,Restaurant Staff,Crew,,false
BOAL,Mr John,40,Engineering,Crew,(Delivery trip only),false
BOCHATAY,Mr Alexis Joseph,30,Victualling,Crew,,false
BOCHET,Mr Pietro Giuseppe,43,Restaurant Staff,Crew,,false
BOGIE,Mr Norman Leslie,59,Victualling,Crew,,false
BOLHUIS,Mr Hendrik,27,Restaurant Staff,Crew,,false
BOND,Mr William John,45,Victualling,Crew,,false
BONNELL,Miss Caroline,30,1st Class,Passenger,,true
BONNELL,Miss Elizabeth,61,1st Class,Passenger,,true
BOOTHBY,Mr Walter Thomas,37,Victualling,Crew,,false
BOREBANK,Mr John James,41,1st Class,Passenger,,false
BOSTANDJIEV,Mr Gencho,26,3rd Class,Passenger,,false
BOSTON,Mr William John,32,Victualling,Crew,,false
BOTSFORD,Mr William Hull,25,2nd Class,Passenger,,false
BOTT,Mr William Thomas,46,Engineering,Crew,,false
BOUGHTON,Mr Bernard John,24,Victualling,Crew,,false
BOULOS,Mr Hanna,18,3rd Class,Passenger,,false
BOURKE,Miss Mary,40,3rd Class,Passenger,,false
BOURKE,Mr John,42,3rd Class,Passenger,,false
BOURKE,Mrs Catherine,32,3rd Class,Passenger,,false
BOWEN,Miss Grace Scott,45,1st Class,Passenger,Servant,true
BOWEN,Mr David John 'Dai',20,3rd Class,Passenger,,false
BOWERMAN,Miss Elsie Edith,22,1st Class,Passenger,,true
BOWKER,Miss Ruth Harwood,31,Restaurant Staff,Crew,,true
BOWMAN,Mr F. T.,38,Victualling,Crew,Failed to Join Ship,false
BOXHALL,Mr Joseph Groves,28,Deck,Crew,Titanic Officers,true
BOYD,Mr Adam,38,Engineering,Crew,(Delivery trip only),false
BOYD,Mr John,37,Victualling,Crew,,false
BOYES,Mr John Henry,36,Victualling,Crew,,false
BRACKEN,Mr James Hollen,30,2nd Class,Passenger,,false
BRADLEY,Miss Bridget,22,3rd Class,Passenger,,true
BRADLEY,Mr Patrick Joseph,38,Engineering,Crew,,false
BRADLEY,Mr Thomas Henry,28,Deck,Crew,,false
BRADSHAW,Mr John Albert Perkin,42,Victualling,Crew,,false
BRADY,Mr John Bertram,41,1st Class,Passenger,,false
BRAF,Miss Elin Ester Maria,20,3rd Class,Passenger,,false
BRAILEY,Mr William Theodore Ronald,24,2nd Class,Passenger,Musician,false
BRAND,Mr,0,1st Class,Passenger,Cross Channel Passenger,true
BRANDEIS,Mr Emil Franklin,48,1st Class,Passenger,,false
BRAUND,Mr Lewis Richard,29,3rd Class,Passenger,,false
BRAUND,Mr Owen Harris,22,3rd Class,Passenger,,false
BRENNAN,Mr Thomas,39,Engineering,Crew,(Delivery trip only),false
BRERETON,Mr George Andrew,37,1st Class,Passenger,,true
BREWE,Dr Arthur Jackson,45,1st Class,Passenger,,false
BREWER,Mr B.,24,Engineering,Crew,Deserted,false
BREWER,Mr Harry,30,Engineering,Crew,,false
BREWSTER,Mr George Henry,52,Victualling,Crew,,false
BRIANT,Mr Albert,34,Engineering,Crew,,false
BRIANT,Mr Arthur,30,Engineering,Crew,,false
BRICE,Mr Walter Thomas,42,Deck,Crew,,true
BRICOUX,Mr Roger Marie,20,2nd Class,Passenger,Musician,false
BRIDAN,Mr William,33,Engineering,Crew,(Delivery trip only),false
BRIDE,Mr Harold Sydney,22,Victualling,Crew,,true
BRIGHT,Mr Arthur John,42,Deck,Crew,,true
BRISTOW,Mr Harry,38,Victualling,Crew,,false
BRISTOW,Mr Robert Charles,38,Victualling,Crew,,false
BRITO,Mr José Joaquim de,40,2nd Class,Passenger,,false
BROBÄCK,Mr Karl Rudolf,22,3rd Class,Passenger,,false
BROCKLEBANK,Mr William Alfred,40,3rd Class,Passenger,,false
BROOKMAN,Mr John Cress,28,Victualling,Crew,,false
BROOKS,Mr J.,25,Engineering,Crew,,false
BROOM,Mr Herbert George,33,Victualling,Crew,,false
BROOME,Mr Athol Frederick,31,Victualling,Crew,,false
BROWN,Miss Amelia Mary,18,2nd Class,Passenger,Servant,true
BROWN,Miss Edith Eileen,15,2nd Class,Passenger,,true
BROWN,Mr Edward,34,Victualling,Crew,,true
BROWN,Mr John,28,Engineering,Crew,,false
BROWN,Mr Joseph,30,Engineering,Crew,Substitute Crew,false
BROWN,Mr Thomas William Solomon,60,2nd Class,Passenger,,false
BROWN,Mr Walter James,41,Victualling,Crew,,false
BROWN,Mrs Caroline Lane,59,1st Class,Passenger,,true
BROWN,Mrs Elizabeth Catherine,39,2nd Class,Passenger,,true
BROWN,Mrs Margaret,44,1st Class,Passenger,,true
BROWNE,Rev. Francis M.,31,1st Class,Passenger,Cross Channel Passenger,true
BRYAN,Mr John,22,Engineering,Crew,(Delivery trip only),false
BRYHL,Miss Dagmar Jenny Ingeborg,20,2nd Class,Passenger,,true
BRYHL,Mr Kurt Arnold Gottfrid,25,2nd Class,Passenger,,false
BUCKLEY,Miss Catherine,23,3rd Class,Passenger,,false
BUCKLEY,Mr Daniel,21,3rd Class,Passenger,,true
BUCKLEY,Mr H. E.,34,Victualling,Crew,,false
BUCKNELL,Mrs Emma Eliza,58,1st Class,Passenger,,true
BULEY,Mr Edward John,26,Deck,Crew,,true
BULL,Mr Walter Edward,36,Victualling,Crew,,false
BULLEY,Mr Henry Ashburnham,21,Victualling,Crew,,false
BŪLUS,Master Akar,7,3rd Class,Passenger,,false
BŪLUS,Miss Nūr al-'ayn,10,3rd Class,Passenger,,false
BŪLUS,Mrs Sultānah,40,3rd Class,Passenger,,false
BUNNELL,Mr Wilfred James,20,Victualling,Crew,,false
BURGESS,Mr Charles,18,Victualling,Crew,,true
BURKE,Mr Jeremiah,19,3rd Class,Passenger,,false
BURKE,Mr Richard Edward,29,Victualling,Crew,,false
BURKE,Mr William,39,Victualling,Crew,,true
BURNESS,Mr Frank,43,Engineering,Crew,(Delivery trip only),false
BURNS,Miss Elizabeth Margaret,41,1st Class,Passenger,Servant,true
BURNS,Miss Mary Delia,15,3rd Class,Passenger,,false
BURNS,Mr John,32,Deck,Crew,(Delivery trip only),false
BURNS,Mr William,38,Engineering,Crew,(Delivery trip only),false
BURR,Mr Ewart Sydenham,29,Victualling,Crew,,false
BURRAGE,Mr Arthur Victor Edwards,20,Victualling,Crew,,true
BURROUGHS,Mr Arthur Peckham,34,Engineering,Crew,,false
BURROWS,Mr W.,29,Engineering,Crew,Left with Consent,false
BURTON,Mr Edward John,35,Engineering,Crew,,false
BUSS,Miss Kate,36,2nd Class,Passenger,,true
BUTLER,Mr Reginald Fenton,25,2nd Class,Passenger,,false
BUTRUS-KA'WĪ,Mr Tannūs,21,3rd Class,Passenger,,false
BUTT,Major Archibald Willingham,46,1st Class,Passenger,,false
BUTT,Mr Robert Henry,21,Victualling,Crew,,false
BUTT,Mr William John,30,Engineering,Crew,,false
BUTTERWORTH,Mr John,23,Victualling,Crew,,false
BYLES,Fr Thomas Roussel Davids,42,2nd Class,Passenger,,false
BYRNE,Mr James Edward,44,Victualling,Crew,,false
BYSTRÖM,Mrs Karolina,39,2nd Class,Passenger,,true
ČAČIĆ,Miss Manda,21,3rd Class,Passenger,,false
ČAČIĆ,Miss Marija,36,3rd Class,Passenger,,false
ČAČIĆ,Mr Jego Grga,18,3rd Class,Passenger,,false
ČAČIĆ,Mr Luka,38,3rd Class,Passenger,,false
CAIRNES,Mr Robert,50,Engineering,Crew,(Delivery trip only),false
CAIRNS,Mr Alexander Milne,28,1st Class,Passenger,Servant,false
CALDERHEAD,Mr Edward Pennington,42,1st Class,Passenger,,true
CALDERWOOD,Mr Hugh,33,Engineering,Crew,,false
CALDWELL,Master Alden Gates,0.83,2nd Class,Passenger,,true
CALDWELL,Mr Albert Francis,26,2nd Class,Passenger,,true
CALDWELL,Mrs Sylvia Mae,28,2nd Class,Passenger,,true
ČALIĆ,Mr Jovo,17,3rd Class,Passenger,,false
ČALIĆ,Mr Petar,17,3rd Class,Passenger,,false
CAMERON,Miss Clear Annie,35,2nd Class,Passenger,,true
CAMPBELL,Mr Donald Samuel,28,Victualling,Crew,,false
CAMPBELL,Mr William,20,2nd Class,Passenger,H&W Guarantee Group,false
CANAVAN,Miss Mary,22,3rd Class,Passenger,,false
CANAVAN,Mr Patrick,21,3rd Class,Passenger,,false
CANDEE,Mrs Helen Churchill,52,1st Class,Passenger,,true
CANN,Mr Ernest,29,3rd Class,Passenger,,false
CANNER,Mr John,40,Engineering,Crew,,false
CARAM,Mr Joseph,28,3rd Class,Passenger,,false
CARAM,Mrs Maria Elias,18,3rd Class,Passenger,,false
CARBINES,Mr William,19,2nd Class,Passenger,,false
CARDEZA,Mr Thomas Drake Martinez,36,1st Class,Passenger,,true
CARDEZA,Mrs Charlotte Wardle,58,1st Class,Passenger,,true
CARDWELL,Mr John,32,Engineering,Crew,(Delivery trip only),false
CARLSSON,Mr August Sigfrid,28,3rd Class,Passenger,,false
CARLSSON,Mr Carl Robert,24,3rd Class,Passenger,,false
CARLSSON,Mr Frans Olof,33,1st Class,Passenger,,false
CARNEY,Mr William,31,Victualling,Crew,,false
CARR,Miss Jane,45,3rd Class,Passenger,,false
CARR,Mr Richard Stephen,27,Engineering,Crew,,false
CARRAÚ-ESTEVES,Mr José Pedro,17,1st Class,Passenger,,false
CARRAU,Mr Francisco Mauro Severiano,27,1st Class,Passenger,,false
CARRUTHERS,Mr Francis,0,1st Class,Passenger,,false
CARSON,Mr James,36,Engineering,Crew,(Delivery trip only),false
CARTER,Master William Thornton II,11,1st Class,Passenger,,true
CARTER,Miss Lucile Polk,14,1st Class,Passenger,,true
CARTER,Mr F.,27,Engineering,Crew,Failed to Join Ship,false
CARTER,Mr James,46,Engineering,Crew,,false
CARTER,Mr William Ernest,36,1st Class,Passenger,,true
CARTER,Mrs Lilian,45,2nd Class,Passenger,,false
CARTER,Mrs Lucile,36,1st Class,Passenger,,true
CARTER,Rev. Ernest Courtenay,54,2nd Class,Passenger,,false
CARTWRIGHT,Mr James Edward,33,Victualling,Crew,,false
CARVER,Mr Alfred John,27,3rd Class,Passenger,,false
CASALI,Sig. Giulio,32,Restaurant Staff,Crew,,false
CASE,Mr Howard Brown,49,1st Class,Passenger,,false
CASEY,Mr Thomas,44,Engineering,Crew,,false
CASSEBEER,Mrs Eleanor Genevieve,36,1st Class,Passenger,,true
CASSIDY,Mr William J.,0,Engineering,Crew,(Delivery trip only),false
CASSWILL,Mr Charles,34,Victualling,Crew,,false
CASTLEMAN,Mr Edward,37,Engineering,Crew,,false
CATON,Miss Annie,33,Victualling,Crew,,true
CAUNT,Mr William Ewart,28,Victualling,Crew,,false
CAVE,Mr Herbert,39,Victualling,Crew,,false
CAVELL,Mr George Henry,22,Engineering,Crew,,true
CAVENDISH,Mr Tyrell William,36,1st Class,Passenger,,false
CAVENDISH,Mrs Julia Florence,25,1st Class,Passenger,,true
CECIL,Mr Charles Thomas,21,Victualling,Crew,,false
CELOTTI,Mr Francesco,24,3rd Class,Passenger,,false
CHABOISSON,Mr Adrien Firmin,25,Restaurant Staff,Crew,,false
CHAFFEE,Mr Herbert Fuller,46,1st Class,Passenger,,false
CHAFFEE,Mrs Carrie Constance,47,1st Class,Passenger,,true
CHAMBERS,Mr Norman Campbell,27,1st Class,Passenger,,true
CHAMBERS,Mrs Bertha,32,1st Class,Passenger,,true
CHAPMAN,Mr Charles Henry,51,2nd Class,Passenger,,false
CHAPMAN,Mr John Henry,37,2nd Class,Passenger,,false
CHAPMAN,Mr Joseph Charles,32,Victualling,Crew,,true
CHAPMAN,Mrs Sarah Elizabeth,30,2nd Class,Passenger,,false
CHARMAN,Mr John James,25,Victualling,Crew,,false
CHARTERS,Mr David,20,3rd Class,Passenger,,false
CHAUDANSON,Miss Victorine,36,1st Class,Passenger,Servant,true
CHERRETT,Mr William Victor,24,Engineering,Crew,,false
CHERRY,Miss Gladys,30,1st Class,Passenger,,true
CHEVERS,Mr William,28,Engineering,Crew,(Delivery trip only),false
CHEVERTON,Mr William Frederick,27,Victualling,Crew,,false
CHEVRÉ,Mr Paul Romaine Marie Léonce,45,1st Class,Passenger,,true
